name,county_name
Abrud,Alba
Aiud,Alba
Alba Iulia,Alba
Baia de Arieş,Alba
Blaj,Alba
Cugir,Alba
Câmpeni,Alba
Ocna Mureş,Alba
Sebeş,Alba
Teiuş,Alba
Zlatna,Alba
Arad,Arad
Chişineu-Criş,Arad
Curtici,Arad
Ineu,Arad
Lipova,Arad
Nădlac,Arad
Pecica,Arad
Pâncota,Arad
Sebiş,Arad
Sântana,Arad
Câmpulung-Muscel,Argeş
Costeşti,Argeş
Curtea de Argeş,Argeş
Mioveni,Argeş
Piteşti,Argeş
Ştefăneşti,Argeş
Topoloveni,Argeş
Bacău,Bacău
Buhuşi,Bacău
Comăneşti,Bacău
Dărmăneşti,Bacău
Moineşti,Bacău
Oneşti,Bacău
Slănic-Moldova,Bacău
Târgu Ocna,Bacău
Aleşd,Bihor
Beiuş,Bihor
Marghita,Bihor
Nucet,Bihor
Oradea,Bihor
Salonta,Bihor
Săcuieni,Bihor
Ştei,Bihor
Valea lui Mihai,Bihor
Vaşcău,Bihor
Beclean,Bistriţa-Năsăud
Bistriţa,Bistriţa-Năsăud
Năsăud,Bistriţa-Năsăud
Sângeorz-Băi,Bistriţa-Năsăud
Botoşani,Botoşani
Bucecea,Botoşani
Darabani,Botoşani
Dorohoi,Botoşani
Flămânzi,Botoşani
Săveni,Botoşani
Ştefăneşti,Botoşani
Braşov,Braşov
Codlea,Braşov
Făgăraş,Braşov
Ghimbav,Braşov
Predeal,Braşov
Râşnov,Braşov
Rupea,Braşov
Săcele,Braşov
Victoria,Braşov
Zărneşti,Braşov
Brăila,Brăila
Făurei,Brăila
Ianca,Brăila
Însurăţei,Brăila
Buzău,Buzău
Nehoiu,Buzău
Pogoanele,Buzău
Pătîrlagele,Buzău
Râmnicu Sărat,Buzău
Anina,Caraş-Severin
Băile Herculane,Caraş-Severin
Bocşa,Caraş-Severin
Caransebeş,Caraş-Severin
Moldova Noua,Caraş-Severin
Oraviţa,Caraş-Severin
Oţelu Roşu,Caraş-Severin
Reşiţa,Caraş-Severin
Budeşti,Călăraşi
Călăraşi,Călăraşi
Fundulea,Călăraşi
Lehliu Gara,Călăraşi
Olteniţa,Călăraşi
Câmpia Turzii,Cluj
Cluj-Napoca,Cluj
Dej,Cluj
Gherla,Cluj
Huedin,Cluj
Turda,Cluj
Băneasa,Constanţa
Cernavodă,Constanţa
Constanţa,Constanţa
Eforie,Constanţa
Hârşova,Constanţa
Mangalia,Constanţa
Medgidia,Constanţa
Murfatlar,Constanţa
Năvodari,Constanţa
Negru Vodă,Constanţa
Ovidiu,Constanţa
Techirghiol,Constanţa
Baraolt,Covasna
Covasna,Covasna
Întorsura Buzăului,Covasna
Sfântu Gheorghe,Covasna
Târgu Secuiesc,Covasna
Fieni,Dâmboviţa
Găeşti,Dâmboviţa
Moreni,Dâmboviţa
Pucioasa,Dâmboviţa
Răcari,Dâmboviţa
Târgovişte,Dâmboviţa
Titu,Dâmboviţa
Băileşti,Dolj
Bechet,Dolj
Calafat,Dolj
Craiova,Dolj
Dăbuleni,Dolj
Filiaşi,Dolj
Segarcea,Dolj
Beresti,Galaţi
Galaţi,Galaţi
Târgu Bujor,Galaţi
Tecuci,Galaţi
Bolintin-Vale,Giurgiu
Giurgiu,Giurgiu
Mihăileşti,Giurgiu
Bumbeşti-Jiu,Gorj
Motru,Gorj
Novaci,Gorj
Rovinari,Gorj
Tismana,Gorj
Târgu Cărbuneşti,Gorj
Târgu Jiu,Gorj
Ticleni,Gorj
Turceni,Gorj
Băile Tuşnad,Harghita
Bălan,Harghita
Borsec,Harghita
Cristuru Secuiesc,Harghita
Gheorgheni,Harghita
Miercurea Ciuc,Harghita
Odorheiu Secuiesc,Harghita
Topliţa,Harghita
Vlăhiţa,Harghita
Aninoasa,Hunedoara
Brad,Hunedoara
Călan,Hunedoara
Deva,Hunedoara
Geoagiu,Hunedoara
Haţeg,Hunedoara
Hunedoara,Hunedoara
Lupeni,Hunedoara
Orăştie,Hunedoara
Petrila,Hunedoara
Petroşani,Hunedoara
Simeria,Hunedoara
